from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
F261-35,F261-35,,,,,0,
FL912-18,FL912-18,,,,,3,
FL912-18,F912-26,,,20260105-Semaine-01-923-0-0554,20260105-Semaine-01-921-1-0700,5,
F213-01,F213-01,,,20260105-Semaine-01-925-1-1515,20260105-Semaine-01-921-0-1620,5,
F213-01,F213-01,,,20260105-Weekend-01-924-1-0755,20260105-Weekend-01-924-0-0845,5,
F213-01,F213-01,,,20260105-Weekend-01-924-1-1100,20260105-Weekend-01-924-0-1210,5,
F213-01,F213-01,,,20260105-Weekend-01-924-1-1640,20260105-Weekend-01-924-0-1750,5,
F912-01,F912-01,,,20260105-Semaine-01-925-0-1100,20260105-Semaine-01-925-1-1200,5,
F123-01,F123-01,,,20260420-Semaine-01-910-1-0642,20260420-Semaine-01-910-0-0753,5,
F123-01,F123-01,,,20260420-Semaine-01-910-1-1500,20260420-Semaine-01-910-0-1611,5,
FL912-18,F912-26,,,20260420-Semaine-01-923-0-0554,20260420-Semaine-01-921-1-0700,5,
F213-01,F213-01,,,20260420-Semaine-01-925-1-1515,20260420-Semaine-01-921-0-1620,5,
F213-01,F213-01,,,20260420-Weekend-01-924-1-0755,20260420-Weekend-01-924-0-0845,5,
F213-01,F213-01,,,20260420-Weekend-01-924-1-1100,20260420-Weekend-01-924-0-1210,5,
F213-01,F213-01,,,20260420-Weekend-01-924-1-1640,20260420-Weekend-01-924-0-1750,5,
F912-01,F912-01,,,20260420-Semaine-01-925-0-1100,20260420-Semaine-01-925-1-1200,5,
