route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_headsign
910,20241201-Semaine-01,20241201-Semaine-01-910-0-0517,Cégep G-Roy via Route 148,,0,20241201-101-Semaine-01,910G,2,1,Gatineau
910,20241201-Semaine-01,20241201-Semaine-01-910-1-1630,Chapeau via Route 148,,1,20241201-114-Semaine-01,910P,2,1,Pontiac
921,20241201-Semaine-01,20241201-Semaine-01-921-0-0523,les Galeries via Autoroute,,0,20241201-102-Semaine-01,921GR,2,1,Gatineau
921,20241201-Semaine-01,20241201-Semaine-01-921-0-1630,les Galeries via Autoroute,,0,20241201-115-Semaine-01,921GR,2,1,Gatineau
921,20241201-Semaine-01,20241201-Semaine-01-921-1-0700,Masham via Autoroute,,1,20241201-103-Semaine-01,921CR,2,1,Collines
923,20241201-Semaine-01,20241201-Semaine-01-923-0-0537,les Galeries via Old Chelsea,,0,20241201-103-Semaine-01,923G,2,1,Gatineau
923,20241201-Semaine-01,20241201-Semaine-01-923-0-0637,les Galeries via Old Chelsea,,0,20241201-102-Semaine-01,923G,2,1,Gatineau
923,20241201-Semaine-01,20241201-Semaine-01-923-1-1625,Masham via Old Chelsea,,1,20241201-113-Semaine-01,923C,2,1,Collines
923,20241201-Semaine-01,20241201-Semaine-01-923-1-1725,Masham via Old Chelsea,,1,20241201-115-Semaine-01,923C,2,1,Collines
925,20241201-Semaine-01,20241201-Semaine-01-925-0-0640,les Galeries via de la Mine,,0,20241201-105-Semaine-01,925G,2,1,Gatineau
925,20241201-Semaine-01,20241201-Semaine-01-925-0-0700,les Galeries via de la Mine,,0,20241201-107-Semaine-01,925G,2,1,Gatineau
925,20241201-Semaine-01,20241201-Semaine-01-925-0-1100,les Galeries via de la Mine,,0,20241201-108-Semaine-01,925G,2,1,Gatineau
925,20241201-Semaine-01,20241201-Semaine-01-925-1-1159,Masham via de la Mine,,1,20241201-108-Semaine-01,925C,2,1,Collines
925,20241201-Semaine-01,20241201-Semaine-01-925-1-1515,Masham via de la Mine,,1,20241201-109-Semaine-01,925C,2,1,Collines
925,20241201-Semaine-01,20241201-Semaine-01-925-1-1615,Masham via de la Mine,,1,20241201-112-Semaine-01,925C,2,1,Collines
931,20241201-Semaine-01,20241201-Semaine-01-931-0-0720,de la Gappe via Bouchette,,0,20241201-104-Semaine-01,5wha,2,1,Gatineau
931,20241201-Semaine-01,20241201-Semaine-01-931-1-1720,Église Sainte-Élisabeth via Bouchette,,1,20241201-111-Semaine-01,aq40,2,1,Collines
932,20241201-Semaine-01,20241201-Semaine-01-932-0-0645,Cégep G-Roy via Alonzo,,0,20241201-106-Semaine-01,agpi,2,1,Gatineau
932,20241201-Semaine-01,20241201-Semaine-01-932-1-1530,Église Sainte-Élisabeth via Alonzo,,1,20241201-110-Semaine-01,27v6,2,1,Collines
940,20241201-Semaine-01,20241201-Semaine-01-940-0-0613,Labrosse via Carrefour,,0,20241201-104-Semaine-01,940G,2,1,Gatineau
940,20241201-Semaine-01,20241201-Semaine-01-940-1-1624,Perkins via Carrefour,,1,20241201-111-Semaine-01,940C,2,1,Collines
924,20241201-Weekend-01,20241201-Weekend-01-924-0-0800,les Galeries via Scott,,0,20241201-201-Weekend-01,924GG,2,1,Gatineau
924,20241201-Weekend-01,20241201-Weekend-01-924-0-1100,les Galeries via Scott,,0,20241201-202-Weekend-01,924GG,2,1,Gatineau
924,20241201-Weekend-01,20241201-Weekend-01-924-0-1700,les Galeries via Scott,,0,20241201-203-Weekend-01,924GG,2,1,Gatineau
924,20241201-Weekend-01,20241201-Weekend-01-924-1-0855,Masham via Scott,,1,20241201-201-Weekend-01,924CG,2,1,Collines
924,20241201-Weekend-01,20241201-Weekend-01-924-1-1155,Masham via Scott,,1,20241201-202-Weekend-01,924CG,2,1,Collines
924,20241201-Weekend-01,20241201-Weekend-01-924-1-1755,Masham via Scott,,1,20241201-203-Weekend-01,924CG,2,1,Collines
910,20241211-Semaine-01,20241211-Semaine-01-910-0-0517,Cégep G-Roy via Route 148,,0,20241211-101-Semaine-01,910G,2,1,Gatineau
910,20241211-Semaine-01,20241211-Semaine-01-910-1-1630,Chapeau via Route 148,,1,20241211-114-Semaine-01,910P,2,1,Pontiac
921,20241211-Semaine-01,20241211-Semaine-01-921-0-0523,les Galeries via Autoroute,,0,20241211-102-Semaine-01,921GR,2,1,Gatineau
921,20241211-Semaine-01,20241211-Semaine-01-921-0-1630,les Galeries via Autoroute,,0,20241211-115-Semaine-01,921GR,2,1,Gatineau
921,20241211-Semaine-01,20241211-Semaine-01-921-1-0700,Masham via Autoroute,,1,20241211-103-Semaine-01,921CR,2,1,Collines
923,20241211-Semaine-01,20241211-Semaine-01-923-0-0537,les Galeries via Old Chelsea,,0,20241211-103-Semaine-01,923G,2,1,Gatineau
923,20241211-Semaine-01,20241211-Semaine-01-923-0-0637,les Galeries via Old Chelsea,,0,20241211-102-Semaine-01,923G,2,1,Gatineau
923,20241211-Semaine-01,20241211-Semaine-01-923-1-1625,Masham via Old Chelsea,,1,20241211-113-Semaine-01,923C,2,1,Collines
923,20241211-Semaine-01,20241211-Semaine-01-923-1-1725,Masham via Old Chelsea,,1,20241211-115-Semaine-01,923C,2,1,Collines
925,20241211-Semaine-01,20241211-Semaine-01-925-0-0640,les Galeries via de la Mine,,0,20241211-105-Semaine-01,925G,2,1,Gatineau
925,20241211-Semaine-01,20241211-Semaine-01-925-0-0700,les Galeries via de la Mine,,0,20241211-107-Semaine-01,925G,2,1,Gatineau
925,20241211-Semaine-01,20241211-Semaine-01-925-0-1100,les Galeries via de la Mine,,0,20241211-108-Semaine-01,925G,2,1,Gatineau
925,20241211-Semaine-01,20241211-Semaine-01-925-1-1159,Masham via de la Mine,,1,20241211-108-Semaine-01,925C,2,1,Collines
925,20241211-Semaine-01,20241211-Semaine-01-925-1-1515,Masham via de la Mine,,1,20241211-109-Semaine-01,925C,2,1,Collines
925,20241211-Semaine-01,20241211-Semaine-01-925-1-1615,Masham via de la Mine,,1,20241211-112-Semaine-01,925C,2,1,Collines
931,20241211-Semaine-01,20241211-Semaine-01-931-0-0720,de la Gappe via Bouchette,,0,20241211-104-Semaine-01,5wha,2,1,Gatineau
931,20241211-Semaine-01,20241211-Semaine-01-931-1-1720,Église Sainte-Élisabeth via Bouchette,,1,20241211-111-Semaine-01,aq40,2,1,Collines
932,20241211-Semaine-01,20241211-Semaine-01-932-0-0645,Cégep G-Roy via Alonzo,,0,20241211-106-Semaine-01,agpi,2,1,Gatineau
932,20241211-Semaine-01,20241211-Semaine-01-932-1-1530,Église Sainte-Élisabeth via Alonzo,,1,20241211-110-Semaine-01,27v6,2,1,Collines
940,20241211-Semaine-01,20241211-Semaine-01-940-0-0613,Labrosse via Carrefour,,0,20241211-104-Semaine-01,940G,2,1,Gatineau
