stop_id,stop_city
910001,L'Isle-aux-Allumettes
910002,L'Isle-aux-Allumettes
910003,Chichester
910004,Chichester
910005,Chichester
910006,Chichester
910007,Chichester
910008,Chichester
910009,Waltham
910010,Chichester
910011,Waltham
910012,Waltham
910013,Waltham
910014,Waltham
910015,Waltham
910016,Waltham
910017,Waltham
910018,Waltham
910019,Waltham
910020,Waltham
910021,Waltham
910022,Waltham
910023,Waltham
910024,Waltham
910025,Waltham
910026,Waltham
910027,Mansfield-et-Pontefract
910028,Mansfield-et-Pontefract
910029,Mansfield-et-Pontefract
910030,Mansfield-et-Pontefract
910031,Mansfield-et-Pontefract
910032,Mansfield-et-Pontefract
910033,Mansfield-et-Pontefract
910034,Mansfield-et-Pontefract
910035,Mansfield-et-Pontefract
910036,Mansfield-et-Pontefract
910037,Mansfield-et-Pontefract
910038,Mansfield-et-Pontefract
910039,Mansfield-et-Pontefract
910040,Mansfield-et-Pontefract
910041,Mansfield-et-Pontefract
910042,Mansfield-et-Pontefract
910043,Litchfield
910044,Litchfield
910045,Litchfield
910046,Litchfield
910047,Litchfield
910048,Litchfield
910049,Litchfield
910050,Litchfield
910051,Litchfield
910052,Litchfield
910053,Litchfield
910054,Litchfield
910055,Campbell's Bay
910056,Litchfield
910057,Campbell's Bay
910058,Campbell's Bay
910059,Campbell's Bay
910060,Campbell's Bay
910061,Litchfield
910062,Litchfield
910063,Litchfield
910064,Litchfield
910065,Litchfield
910066,Litchfield
910067,Bryson
910068,Bryson
910069,Litchfield
910070,Litchfield
910071,Clarendon
910072,Clarendon
910073,Clarendon
910074,Clarendon
910075,Clarendon
910076,Shawville
910077,Clarendon
910078,Shawville
910079,Shawville
910080,Shawville
910081,Clarendon
910082,Shawville
910083,Shawville
910084,Shawville
910085,Clarendon
910086,Clarendon
910087,Clarendon
910088,Shawville
910089,Clarendon
910090,Bristol
910091,Bristol
910092,Bristol
910093,Bristol
910094,Bristol
910095,Bristol
910096,Bristol
910097,Bristol
910098,Bristol
910099,Bristol
910100,Bristol
910101,Pontiac
910102,Pontiac
910103,Bristol
910104,Bristol
910105,Pontiac
910106,Bristol
910107,Pontiac
910108,Pontiac
910109,Pontiac
910110,Pontiac
910111,Pontiac
910112,Pontiac
910113,Pontiac
910114,Pontiac
910115,Pontiac
910116,Pontiac
910117,Pontiac
910118,Pontiac
910119,Pontiac
910120,Pontiac
910121,Pontiac
910122,Pontiac
910123,Pontiac
910124,Pontiac
910125,Pontiac
910126,Pontiac
910127,Pontiac
910128,Pontiac
910129,Pontiac
910130,Pontiac
910131,Pontiac
910132,Pontiac
910133,Pontiac
910134,Pontiac
910135,Pontiac
910136,Pontiac
910137,Pontiac
910138,Pontiac
910139,Pontiac
910140,Pontiac
910141,Pontiac
910142,Pontiac
910143,Pontiac
910144,Gatineau
910145,Gatineau
910147,Gatineau
910148,Gatineau
910149,Gatineau
910150,Gatineau
910151,Gatineau
910152,Gatineau
910153,Gatineau
910154,Gatineau
910155,Gatineau
910156,Gatineau
920001,Gatineau
921011,La Pêche
921022,Chelsea
921024,Chelsea
921025,Chelsea
921032,Gatineau
921034,Gatineau
921039,Chelsea
921043,Chelsea
921045,Chelsea
921062,La Pêche
921067,La Pêche
921072,Chelsea
921073,Chelsea
921078,Chelsea
921082,Chelsea
921100,Chelsea
921109,Chelsea
921114,Chelsea
921115,Chelsea
922001,Chelsea
922002,Chelsea
922026,Chelsea
922036,Gatineau
922037,Chelsea
923002,La Pêche
923004,Chelsea
923006,Chelsea
923009,Gatineau
923013,Chelsea
923015,Chelsea
923019,Chelsea
923020,Chelsea
923022,La Pêche
923035,La Pêche
923047,La Pêche
923051,La Pêche
923059,La Pêche
923060,La Pêche
923069,La Pêche
923081,La Pêche
923082,La Pêche
923083,La Pêche
923084,La Pêche
923087,La Pêche
923088,La Pêche
923089,La Pêche
923090,La Pêche
923093,La Pêche
923094,La Pêche
923095,La Pêche
923096,La Pêche
923137,Chelsea
923138,Chelsea
923141,Chelsea
