from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
921024,921024,0,,,
921032,921032,5,,20240515-G4P-0000011-924-0-1700,20240515-G4P-0000011-924-1-1755
921032,921032,5,,2023-COL-Weekend-2.924G_T03,2023-COL-Weekend-2.924C_T03
923009,923010,5,,2023-COL-Semaine-2.921G_T02,2023-COL-Semaine-2.923C_T02
921032,921032,5,,20240515-G4M-0000011-924-0-1100,20240515-G4M-0000011-924-1-1155
921032,921032,5,,20240515-G3M-1111100-925-0-1100,20240515-G3M-1111100-925-1-1159
921032,921032,5,,2023-COL-Weekend-2.924G_T02,2023-COL-Weekend-2.924C_T02
921032,921032,5,,2023-COL-Semaine-2.925G_T03,2023-COL-Semaine-2.925C_T01
921032,921032,5,,20240515-G4A-0000011-924-0-0800,20240515-G4A-0000011-924-1-0855
921032,921032,5,,2023-COL-Weekend-2.924G_T01,2023-COL-Weekend-2.924C_T01
923009,923010,5,,2023-COL-Semaine-2.923G_T01,2023-COL-Semaine-2.921C_T01
